"shouldcensor","treat","porn","violence","ads","chat","games","spam","rumors","false","uncivil"
0.733333333333333,0,5,5,4,3,3,4,3,3,3
0.733333333333333,0,4,4,3,2,2,4,5,5,4
0.888888888888889,0,5,5,4,2,4,5,5,5,5
0.422222222222222,1,4,4,2,1,1,1,1,3,2
0.711111111111111,1,3,4,5,3,2,5,3,4,3
0.8,0,5,5,3,2,4,5,4,4,4
0.866666666666667,0,5,5,4,2,5,4,5,5,4
0.733333333333333,1,4,4,4,2,3,4,4,4,4
0.8,0,5,5,3,2,4,5,5,5,2
0.733333333333333,1,5,5,5,1,3,4,5,4,1
0.777777777777778,1,4,4,4,3,3,5,4,5,3
0.8,1,4,4,5,3,2,5,5,5,3
0.755555555555556,0,5,5,4,2,2,4,4,5,3
0.533333333333333,1,2,4,2,1,1,4,4,3,3
0.666666666666667,0,4,4,2,2,2,4,4,4,4
0.911111111111111,1,5,4,4,3,5,5,5,5,5
0.777777777777778,1,5,5,4,3,3,4,4,4,3
0.711111111111111,1,4,4,4,2,2,2,4,5,5
0.555555555555556,1,4,4,1,1,1,1,4,4,5
0.977777777777778,0,5,5,5,4,5,5,5,5,5
0.666666666666667,1,5,5,4,2,2,4,2,4,2
0.644444444444444,0,4,4,4,2,2,4,3,3,3
0.844444444444444,0,5,5,4,1,4,5,4,5,5
0.933333333333333,1,5,5,3,4,5,5,5,5,5
0.666666666666667,1,2,2,4,2,4,4,4,4,4
1,0,5,5,5,5,5,5,5,5,5
0.622222222222222,1,4,3,2,1,2,4,3,5,4
0.644444444444444,1,5,5,4,1,1,2,4,4,3
0.8,1,4,4,4,2,3,5,5,5,4
0.711111111111111,1,5,5,5,1,1,3,3,5,4
0.711111111111111,1,4,4,4,2,2,5,4,5,2
0.822222222222222,1,5,5,4,2,2,5,5,5,4
0.688888888888889,1,2,5,4,1,4,4,4,4,3
0.577777777777778,0,2,2,2,2,2,5,5,4,2
0.777777777777778,1,5,5,3,1,1,5,5,5,5
0.711111111111111,1,4,4,3,2,3,3,4,4,5
0.4,1,2,2,2,2,2,2,2,2,2
0.933333333333333,1,5,5,4,4,4,5,5,5,5
0.688888888888889,1,4,4,4,3,3,4,2,4,3
0.866666666666667,0,4,4,5,3,4,4,5,5,5
0.844444444444444,1,4,5,4,3,4,5,5,5,3
0.444444444444444,1,4,2,1,1,1,2,4,4,1
0.822222222222222,1,3,4,5,2,4,5,5,5,4
0.866666666666667,0,5,5,4,2,4,5,5,5,4
0.888888888888889,1,5,5,5,2,4,5,4,5,5
0.533333333333333,1,2,2,2,2,2,5,3,3,3
0.622222222222222,1,5,5,4,1,3,2,4,2,2
0.533333333333333,0,2,2,2,1,2,4,4,5,2
0.777777777777778,1,5,5,4,1,2,5,4,5,4
0.866666666666667,1,4,4,4,4,4,5,5,5,4
0.777777777777778,0,2,2,4,3,4,5,5,5,5
0.755555555555556,1,4,4,4,2,3,4,4,5,4
0.555555555555556,0,2,3,3,1,2,4,3,4,3
0.666666666666667,0,5,5,3,1,2,3,4,4,3
0.711111111111111,1,4,4,3,3,3,4,4,4,3
0.8,0,5,5,4,2,3,4,5,5,3
0.644444444444444,1,5,4,1,1,2,4,4,5,3
0.8,1,1,5,5,3,2,5,5,5,5
0.755555555555556,0,5,5,5,1,1,5,5,5,2
0.955555555555556,1,5,5,5,4,4,5,5,5,5
0.666666666666667,0,4,4,3,1,2,4,4,4,4
0.8,1,5,5,3,3,3,5,5,5,2
0.711111111111111,0,4,4,3,1,1,5,5,5,4
0.2,1,1,1,1,1,1,1,1,1,1
0.622222222222222,1,4,5,4,2,1,2,2,4,4
0.955555555555556,1,5,5,5,4,4,5,5,5,5
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.688888888888889,1,4,4,4,1,1,5,5,5,2
0.911111111111111,1,5,5,5,3,3,5,5,5,5
0.666666666666667,1,2,4,4,2,3,4,4,3,4
0.711111111111111,0,4,5,4,2,2,4,4,4,3
0.733333333333333,1,5,5,4,3,3,4,3,3,3
0.533333333333333,0,4,4,1,1,3,3,2,3,3
0.2,1,1,1,1,1,1,1,1,1,1
0.644444444444444,0,4,4,4,3,2,4,3,4,1
0.622222222222222,1,3,4,3,2,2,4,4,4,2
0.6,1,4,5,2,2,2,4,2,4,2
0.622222222222222,0,4,5,2,2,2,2,4,4,3
0.822222222222222,1,5,5,5,2,2,4,5,5,4
0.688888888888889,1,4,4,3,2,2,4,4,4,4
0.755555555555556,1,5,5,3,1,1,4,5,5,5
0.511111111111111,1,3,3,4,1,1,4,1,5,1
0.644444444444444,1,3,4,3,2,2,4,3,5,3
0.844444444444444,0,5,5,5,3,4,4,4,4,4
0.777777777777778,1,4,5,3,2,2,4,5,5,5
0.733333333333333,1,5,5,3,2,1,4,4,5,4
0.755555555555556,0,3,5,5,1,2,5,4,5,4
0.711111111111111,0,4,5,4,1,1,5,5,5,2
0.755555555555556,0,4,4,2,2,3,5,5,5,4
0.711111111111111,0,3,3,4,2,3,5,4,5,3
0.866666666666667,0,5,5,4,2,3,5,5,5,5
0.711111111111111,0,5,5,4,3,3,2,3,4,3
0.822222222222222,1,5,5,4,2,3,4,4,5,5
0.666666666666667,1,3,2,2,2,5,5,5,5,1
0.688888888888889,0,4,4,4,2,2,4,4,4,3
0.8,0,5,5,4,3,2,4,5,5,3
0.688888888888889,1,4,4,3,2,3,4,4,4,3
0.644444444444444,1,4,4,2,3,3,2,4,5,2
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.888888888888889,1,5,5,5,3,2,5,5,5,5
0.888888888888889,1,5,5,4,1,5,5,5,5,5
0.733333333333333,1,2,5,4,1,1,5,5,5,5
0.844444444444444,0,5,5,5,1,3,5,5,5,4
0.533333333333333,0,1,5,1,1,1,5,3,4,3
0.733333333333333,1,4,4,4,2,2,5,5,5,2
0.711111111111111,0,5,4,3,4,3,2,3,4,4
0.622222222222222,1,3,3,2,1,1,5,5,5,3
0.777777777777778,0,4,4,4,3,3,4,5,5,3
0.822222222222222,0,5,5,4,2,4,3,5,5,4
0.888888888888889,0,5,5,4,2,4,5,5,5,5
0.666666666666667,0,5,5,2,2,2,4,4,4,2
0.444444444444444,1,1,1,3,1,1,5,2,4,2
0.666666666666667,1,5,4,2,1,2,5,4,5,2
0.711111111111111,1,5,5,2,1,1,5,5,5,3
1,0,5,5,5,5,5,5,5,5,5
0.844444444444444,1,4,4,5,3,3,5,5,5,4
0.533333333333333,1,2,4,2,1,1,4,3,5,2
0.755555555555556,1,5,5,4,1,1,4,5,5,4
0.733333333333333,1,4,5,3,1,1,5,5,5,4
0.6,1,4,5,2,1,2,3,4,3,3
0.688888888888889,1,4,4,3,1,2,5,4,5,3
0.777777777777778,0,5,5,5,1,2,5,4,5,3
