"mid","codepost","censoredpost","politics","complaining","similarity"
"mu9OQ5VNFn","TimFlach，英国创意摄影师协会主席，动物摄影大师，GETTY签约摄影师，以拍摄概念性野生动物最为著称，尤其擅长拍摄马等灵动的动物，与动物有着深厚的情感，作品角度奇特，对动物的毛发有着非同寻常的表现力，画面语言简介干净，推崇“少即是多”的创意理念。","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"mGCGQsBFlA","那些年,爸爸追过的女孩！","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"m60mpJj7ZP","【科学解析林书豪爆发原因0.6秒投篮1秒加速】一段视频用数字很好的分析了林书豪持续爆发的原因。通过分析可以看出，林书豪的出手速度比雷-阿伦还快，投篮角度也几乎完美，同时还拥有1秒的加速。","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"m5Pax2RkVs","各种IT美娘！！","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"mr3em4YBcn","前面那个别抢戏啊！！","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"mGvCNAnr0Y","如果你是周淮安，你会选谁？邱莫言还是金镶玉？","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"mJGS52U1Mf","【《步步惊心》原班人马将穿越回现代】《步步惊心》制片人蔡艺侬说，现代版《步步惊心》的剧本确实在创作中，现代版，仍然由原班人马出演。“有商战的背景在里面，主要还是以情感为主。”有网友希望，一定要四爷和若曦在一起！续集一定要是完美的结局！视频","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"m5PaxypODU","【#吃遍金华#免费试菜吃货们快来报名啦】来网（bbs.96356.in)“吃遍金华”免费试菜活动第一站选在茶园会所。时间定在3月3日中午，如果你是美食达人，就赶紧登录来网注册，在“吃遍金华”栏目跟帖报名或发送微博私信到报名。共设10个试菜名额，2月29日报名截止。详见：","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"mjBCobyW36","@胡灵敏","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"mUEK4WXLSn","【15名90后玩“暴打路人甲”随机殴打无辜路人】从2月17日深夜10点至第二天凌晨6点多，连续有4名无辜路人被殴打受伤。南京警方仅用24个小时便将打人者陆续抓获，令人心惊的是，这15名嫌疑人都是“90后”，年龄从16岁至18岁不等，他们称只不过在玩“暴打路人甲”的游戏","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
