"uid","mid","retweeted_status_mid","retweeted_uid","source","image","text","geo","created_at","deleted_last_seen","permission_denied","week","leng","deleteddateclean","diffindays","treat","created","textfactor","strata","weights","tendaybcensor","tendaybexist","tendaybpost","fivedaybcensor","fivedaybexist","fivedaybpost","tendayacensor","tendayaexist","tendayapost","fivedayacensor","fivedayaexist","fivedayapost","postratebefore","censoredratebefore","existratebefore","postrateafter","censoredrateafter","existrateafter","province","gender","verified","datefactor","censored"
"u02LGA5KW","mPowtfJVYx","mA36ZTVzBD","uW0E05IGH","新浪微博","0","高富帅领军人物。平平好高大啊。。大人找小民，才是伟光正。找这么多小个瘦子衬托高大呀这都谁跟谁呀？","","2012-12-22 18:16:13","","",51,48,"",NA,0,"2012-12-22","高富帅领军人物。平平好高大啊。。大人找小民，才是伟光正。找这么多小个瘦子衬托高大呀这都谁跟谁呀？",2095,1.5625,0.028169014084507,0.845070422535211,497,0.0170212765957447,0.897872340425532,235,0.0169779286926995,0.923599320882852,589,0.0211267605633803,0.887323943661972,284,708,0.0254237288135593,0.851694915254237,589,0.0169779286926995,0.923599320882852,37,"m",FALSE,"2012-12-22",0
"u0AGS4RKY","muyRF7AUgU","mkGXF0pOeJ","","新浪微博","0","领导人看见自己的名字被写成这样，作何感想？","","2012-08-23 12:12:33","2012-08-24 18:41:44.898595","True",34,21,"2012-08-24 18:41:44",1.2702662037037,1,"2012-08-23","领导人看见自己的名字被写成这样，作何感想？",1998,1,0,0.882352941176471,68,0,1,25,0.012987012987013,0.766233766233766,77,0,0.882352941176471,34,2258,0.00221434898139947,0.878210806023029,940,0.00851063829787234,0.35,11,"m",TRUE,"2012-08-23",1
"u0VP20X3Q","mppDTpQDMa","mQk7xee0U4","uZNJUBNJ1","新浪微博","0","谁敢和特警过不去，特警就和谁过不去。这个车的设计，就构成＂危害公共安全罪＂．出车检验，构成＂伪劣产品罪＂．可以对生产厂和使用者都进行行政处罚和刑事处罚．请两个全国人大代表和政协委员立即提案．","","2012-03-06 13:35:08","2012-03-07 00:52:09.544462","True",10,95,"2012-03-07 00:52:09",0.470150462962963,1,"2012-03-06","谁敢和特警过不去，特警就和谁过不去。这个车的设计，就构成＂危害公共安全罪＂．出车检验，构成＂伪劣产品罪＂．可以对生产厂和使用者都进行行政处罚和刑事处罚．请两个全国人大代表和政协委员立即提案．",1222,1,0,1,163,0,1,92,0.0188679245283019,0.783018867924528,106,0.0444444444444444,0.955555555555556,45,757,0,1,928,0.00862068965517241,0.741379310344828,11,"m",TRUE,"2012-03-06",1
"u0VPCHWH0","mu9ci22XSm","m6ENTyrzkI","uKPJPHF5V","360浏览器超速版","0","如果今日的那个最高只要穿上，带上，就足够了。","","2012-12-17 10:07:22","","",51,22,"",NA,0,"2012-12-17","如果今日的那个最高只要穿上，带上，就足够了。",3740,3.125,0.0231729055258467,0.944741532976827,561,0.0237529691211401,0.95249406175772,421,0.0129032258064516,0.937634408602151,930,0.00904977375565611,0.904977375565611,442,563,0.0230905861456483,0.9449378330373,1234,0.0145867098865478,0.939222042139384,400,"f",FALSE,"2012-12-17",0
"u0VPCHWH0","m1hGmwprB","mzq9S37aJV","uLUCEUT1G","Android客户端","0","他的不足是其位置导致的，如果真正由他来代表人民，社会早就变样了，人民早就舒心了！在有些人看来国家利益没有自己的利益重要！转发微博","","2012-12-23 17:57:45","","",51,64,"",NA,0,"2012-12-23","他的不足是其位置导致的，如果真正由他来代表人民，社会早就变样了，人民早就舒心了！在有些人看来国家利益没有自己的利益重要！转发微博",2438,1.5625,0.0123583934088568,0.929969104016478,971,0.00598802395209581,0.904191616766467,334,0.015625,0.9546875,640,0.00892857142857143,0.973214285714286,448,1200,0.0141666666666667,0.9325,640,0.015625,0.9546875,400,"f",FALSE,"2012-12-23",0
"u0VPCHWH0","mZw2YK4azw","mcDy5ka0c7","uZ32YXA23","Android客户端","0","表叔的一块表顶俺不吃不喝几年的工资啊！！","","2012-12-27 07:18:14","","",52,20,"",NA,0,"2012-12-27","表叔的一块表顶俺不吃不喝几年的工资啊！！",1001,1.5625,0.0129032258064516,0.937634408602151,930,0.0174291938997821,0.965141612200436,459,0.03125,0.911458333333333,192,0.03125,0.911458333333333,192,1659,0.0150693188667872,0.941531042796866,192,0.03125,0.911458333333333,400,"f",FALSE,"2012-12-27",0
"u0VPHROLR","mf6nevLBs9","mnzEyVz4vD","uRLODKDZ4","iPad客户端","0","学打一个新词：八老！带领咱们向钱进！嘿！向钱进！哦老革命家族富豪排行榜吧…我截图了…嘿嘿嘿…说革命先烈和他们的子孙们。","","2012-12-28 16:24:19","","True",52,59,"",NA,1,"2012-12-28","学打一个新词：八老！带领咱们向钱进！嘿！向钱进！哦老革命家族富豪排行榜吧…我截图了…嘿嘿嘿…说革命先烈和他们的子孙们。",3815,1,0.0337972166998012,0.878727634194831,503,0.0407523510971787,0.862068965517241,319,0.0196078431372549,0.941176470588235,51,0.0196078431372549,0.941176470588235,51,976,0.0338114754098361,0.843237704918033,51,0.0196078431372549,0.941176470588235,100,"m",FALSE,"2012-12-28",1
"u0YUDHKJP","mvRASyvhlA","","","云中小鸟","1","睡睡白面膜帖——光甘草定+熊果苷+原花青素，天然植物美白~~用后的感受：1、睡一觉就变白，效果很明显；2、精华非常多，但是丝毫不油腻；3、毛孔细致莹润，肌肤非常白皙、光泽！详细介绍戳这里：【】","","2012-12-05 12:10:05","","True",49,96,"",NA,1,"2012-12-05","睡睡白面膜帖——光甘草定+熊果苷+原花青素，天然植物美白~~用后的感受：1、睡一觉就变白，效果很明显；2、精华非常多，但是丝毫不油腻；3、毛孔细致莹润，肌肤非常白皙、光泽！详细介绍戳这里：【】",492,1,0,1,383,0,1,184,0,0.621409921671018,383,0,0.730496453900709,141,7630,0,0.999868938401049,596,0,0.605704697986577,11,"f",FALSE,"2012-12-05",1
"u1CIIGS05","m4YGwmeMic","mQFi7Sd2lp","u5KYRTTZJ","新浪微博","0","回复这个还能有假的？不但是外国人、中国的有少知识分子也呼吁了@贺卫方、@北京崔卫平、许志勇…真的？？","","2012-12-06 22:41:43","2012-12-07 02:54:54.489950","True",49,50,"2012-12-07 02:54:54",0.175821759259259,1,"2012-12-06","回复这个还能有假的？不但是外国人、中国的有少知识分子也呼吁了@贺卫方、@北京崔卫平、许志勇…真的？？",3374,1,0.00772200772200772,0.934362934362934,518,0.015748031496063,0.968503937007874,254,0.00539083557951483,0.943396226415094,742,0.00304878048780488,0.978658536585366,328,581,0.00688468158347676,0.941480206540448,1744,0.00630733944954128,0.948967889908257,43,"m",FALSE,"2012-12-06",1
"u1CIXEWT1","m3etXIzDwh","mzHPMFvfnx","","新浪微博","0","请求大家一起转发。呼吁人大代表们亮出自己的良知，让这个不作为的最高人民法院知道无辜的人是不能杀的，冤案是必须纠正的，死扛不纠是要受到惩罚的。转发微博","","2012-03-06 18:50:17","","",10,74,"",NA,0,"2012-03-06","请求大家一起转发。呼吁人大代表们亮出自己的良知，让这个不作为的最高人民法院知道无辜的人是不能杀的，冤案是必须纠正的，死扛不纠是要受到惩罚的。转发微博",1180,1.04166666666667,0,1,135,0,1,43,0,1,98,0,1,58,154,0,1,3586,0.00725041829336308,0.761851645287228,11,"m",TRUE,"2012-03-06",0
"u1CRBFLNM","mtH1TYuPre","mpGACfzKjl","uJ2YYTIWY","新浪微博","0","请大家响应中央号召，举报贪腐嫌疑人，黑社会的大靠山:重庆表叔！","","2012-12-27 12:46:18","","",52,31,"",NA,0,"2012-12-27","请大家响应中央号召，举报贪腐嫌疑人，黑社会的大靠山:重庆表叔！",1165,1.5625,0.0568181818181818,0.920454545454545,88,0.125,0.875,40,NA,NA,0,NA,NA,0,105,0.0476190476190476,0.838095238095238,0,NA,NA,400,"m",FALSE,"2012-12-27",0
"u1CRYRYIL","mcXQmpKZEr","m9INBOzhYk","u0VP4SKVU","新浪微博","0","历史的先生。反动言论，举报一个。呵呵","","2012-12-23 20:46:33","2012-12-23 22:14:31.880891","True",51,18,"2012-12-23 22:14:31",0.061087962962963,1,"2012-12-23","历史的先生。反动言论，举报一个。呵呵",3037,1,0.0146137787056367,0.939457202505219,479,0.0131578947368421,0.925438596491228,228,0.0233545647558386,0.976645435244161,471,0.0326086956521739,0.967391304347826,276,1194,0.0100502512562814,0.937185929648241,471,0.0233545647558386,0.976645435244161,37,"m",FALSE,"2012-12-23",1
"u351QICGU","mVQgnRevQI","mEjSHyTlgb","uZNJUBLKD","iPhone客户端","0","高官被殴打致死，需要更多人殉葬要说助威，和周红敏一起吃饭的辽宁省公安厅的某处长及其他公安厅助威人员怎么没事？司法实务称之为“站脚助威”帮助犯，其实真没法律依据！回复这到是。可这个距离是7、8米啊","","2012-12-25 23:41:03","","",52,97,"",NA,0,"2012-12-25","高官被殴打致死，需要更多人殉葬要说助威，和周红敏一起吃饭的辽宁省公安厅的某处长及其他公安厅助威人员怎么没事？司法实务称之为“站脚助威”帮助犯，其实真没法律依据！回复这到是。可这个距离是7、8米啊",2092,1.5625,0,1,121,0,1,46,0,1,76,0,1,68,6447,0,1,76,0,1,400,"m",FALSE,"2012-12-25",0
"u351WZHTX","mAMiQsKYpB","m4h4is3Cb7","uFAJESVX","新浪微博","0","置顶微博谁能告诉我？什么话我不可以说？凭什么删我的帖？@于建嵘","","2012-12-23 21:20:01","","",51,31,"",NA,0,"2012-12-23","置顶微博谁能告诉我？什么话我不可以说？凭什么删我的帖？@于建嵘",755,1.5625,0.0170940170940171,0.858119658119658,585,0.0248756218905473,0.830845771144279,201,0.0209125475285171,0.908745247148289,526,0.0233918128654971,0.912280701754386,342,2609,0.00613261786124952,0.931774626293599,526,0.0209125475285171,0.908745247148289,11,"m",FALSE,"2012-12-23",0
"u351ZNHNS","mQWnBt5KLq","mzHPMFvfnx","uS5WHBQ5F","新浪微博","0","请求大家一起转发。呼吁人大代表们亮出自己的良知，让这个不作为的最高人民法院知道无辜的人是不能杀的，冤案是必须纠正的，死扛不纠是要受到惩罚的。转发微博","","2012-03-06 18:43:27","2012-03-08 16:42:35.304447","True",10,74,"2012-03-08 16:42:35",1.91606481481481,1,"2012-03-06","请求大家一起转发。呼吁人大代表们亮出自己的良知，让这个不作为的最高人民法院知道无辜的人是不能杀的，冤案是必须纠正的，死扛不纠是要受到惩罚的。转发微博",1180,1,0,0.990384615384615,104,0,0.972972972972973,37,0,0.90625,96,0,0.87037037037037,54,1145,0,0.999126637554585,2603,0.000768344218209758,0.716096811371494,11,"m",TRUE,"2012-03-06",1
"u35UP51CD","m79XiUEPjc","mQWB3DjCE4","u0VPJOJIQ","新浪微博","0","當官不撈錢、不如回家望星空；每逢換屆狗咬狗、換刀換血又十年⋯","","2012-12-27 18:29:15","2012-12-27 21:19:58.858705","True",52,30,"2012-12-27 21:19:58",0.118553240740741,1,"2012-12-27","當官不撈錢、不如回家望星空；每逢換屆狗咬狗、換刀換血又十年⋯",386,1,0.0104166666666667,0.958333333333333,288,0.0104166666666667,0.958333333333333,288,0,0.95,120,0,0.95,120,288,0.0104166666666667,0.958333333333333,120,0,0.95,11,"f",FALSE,"2012-12-27",1
"u35UTTRKV","mEjSWrXpRY","mA36ZTVzBD","uW0E05IGH","新浪微博","0","高富帅领军人物。平平好高大啊。。大人找小民，才是伟光正。找这么多小个瘦子衬托高大呀这都谁跟谁呀？","","2012-12-22 18:18:13","2012-12-23 14:21:33.838548","True",51,48,"2012-12-23 14:21:33",0.835648148148148,1,"2012-12-22","高富帅领军人物。平平好高大啊。。大人找小民，才是伟光正。找这么多小个瘦子衬托高大呀这都谁跟谁呀？",2095,1,0.0120845921450151,0.945619335347432,331,0.0147058823529412,0.952205882352941,272,0.0314606741573034,0.966292134831461,445,0.0510948905109489,0.941605839416058,137,332,0.0120481927710843,0.94578313253012,445,0.0314606741573034,0.966292134831461,34,"m",FALSE,"2012-12-22",1
