"Date","weekend","Age.numeric","Monk","Died","numafterdate"
"2/27/2009",1,25,1,NA,0
"3/16/2011",0,21,1,1,3
"8/15/2011",0,29,1,1,5
"9/26/2011",0,18,1,1,2
"9/26/2011",0,18,1,1,2
"10/3/2011",0,17,1,0,5
"10/7/2011",1,17,1,1,15
"10/7/2011",1,19,1,1,15
"10/15/2011",1,19,1,1,5
"10/17/2011",0,20,1,1,3
"10/21/2011",1,42,0,1,4
"10/25/2011",0,38,1,NA,10
"11/3/2011",0,35,1,1,3
"11/4/2011",1,25,0,0,1
"12/1/2011",0,46,1,1,3
"1/6/2012",1,20,1,1,4
"1/6/2012",1,20,1,1,4
"1/8/2012",1,42,1,1,1
"1/14/2012",1,20,1,1,3
"2/3/2012",0,60,NA,NA,5
"2/8/2012",0,19,1,1,3
"2/9/2012",0,35,1,0,2
"2/11/2012",1,18,1,1,5
"2/13/2012",0,19,1,NA,11
"2/17/2012",1,40,1,1,10
"2/19/2012",1,18,0,1,5
"3/3/2012",1,19,0,1,25
"3/4/2012",1,32,0,1,11
"3/5/2012",0,18,0,1,7
"3/10/2012",1,18,1,1,9
"3/13/2012",0,35,1,1,8
"3/16/2012",1,20,1,1,87
"3/17/2012",1,44,0,1,34
"3/26/2012",0,20,0,1,8
"3/28/2012",0,20,1,1,16
"3/30/2012",1,22,1,1,9
"3/30/2012",1,21,1,1,9
"4/6/2012",1,45,1,1,5
"4/19/2012",0,25,0,1,2
"4/19/2012",0,25,0,1,2
"5/27/2012",1,25,1,1,6
"5/27/2012",1,19,0,1,6
"5/30/2012",0,33,0,1,7
"6/15/2012",1,50,0,1,3
"6/20/2012",0,22,1,1,4
"6/20/2012",0,24,1,1,4
"6/27/2012",0,45,0,1,3
"7/7/2012",1,22,0,1,1
"7/17/2012",0,18,1,1,7
"8/7/2012",0,25,0,1,3
"8/10/2012",1,24,0,1,0
"8/13/2012",0,21,0,1,5
"8/13/2012",0,20,1,1,5
"8/27/2012",0,17,1,1,3
"8/27/2012",0,18,1,1,3
"9/13/2012",0,62,0,NA,1
"9/29/2012",0,27,0,1,0
"10/4/2012",0,43,0,1,5
"10/6/2012",1,27,0,1,2
"10/13/2012",1,52,0,1,6
"10/22/2012",0,65,0,1,2
"10/23/2012",0,58,0,1,2
"10/25/2012",0,20,1,1,0
"10/25/2012",0,25,1,1,0
"10/26/2012",1,23,0,1,1
"10/26/2012",1,24,0,1,1
"11/4/2012",1,25,0,1,2
"11/7/2012",0,16,1,0,1
"11/7/2012",0,16,1,0,1
"11/7/2012",0,15,1,1,1
"11/7/2012",0,23,0,1,1
"11/7/2012",0,27,0,1,1
"11/8/2012",0,18,1,1,3
"11/12/2012",0,24,0,1,3
"11/12/2012",0,20,0,1,3
"11/15/2012",0,23,0,1,5
"11/15/2012",0,18,0,1,5
"11/17/2012",1,NA,0,1,2
"11/17/2012",1,24,0,1,2
"11/19/2012",0,25,0,1,3
"11/20/2012",0,26,0,NA,3
"11/22/2012",0,18,0,1,2
"11/23/2012",1,23,1,1,1
"11/23/2012",1,29,0,1,1
"11/25/2012",1,NA,1,1,4
"11/26/2012",0,24,0,1,4
"11/26/2012",0,18,0,1,4
"11/26/2012",0,25,0,1,4
"11/27/2012",0,24,0,1,2
"11/27/2012",0,18,0,1,2
"11/28/2012",0,21,0,1,4
"11/29/2012",0,31,0,1,7
"11/30/2012",1,29,0,1,9
"12/2/2012",1,17,0,0,16
"12/3/2012",0,29,1,1,11
"12/8/2012",1,24,1,1,0
"12/8/2012",1,23,0,1,0
"12/9/2012",1,17,0,1,3
"1/12/2013",1,22,0,1,6
"1/18/2013",1,25,0,1,4
"1/22/2013",0,26,0,1,0
"2/3/2013",1,35,1,1,6
"2/13/2013",0,18,0,1,3
"2/13/2013",0,17,0,1,3
"2/13/2013",0,26,0,1,3
"2/17/2013",1,49,0,0,2
"2/24/2013",1,20,0,1,1
"2/25/2013",0,NA,1,NA,0
"2/25/2013",0,27,0,1,0
"3/13/2013",0,31,0,1,7
"3/16/2013",1,28,1,1,1
"3/24/2013",1,30,0,1,6
"3/25/2013",0,43,0,1,4
"3/26/2013",0,28,1,1,6
"4/16/2013",0,20,0,1,2
"4/24/2013",0,23,1,1,1
"4/24/2013",0,20,1,1,1
"5/27/2013",0,30,0,1,0
"6/11/2013",0,30,1,1,2
"7/20/2013",1,18,1,1,0
