"date","rank"
2014-03-01,895
2014-03-01,959
2014-03-01,1026
2014-03-01,1058
2014-03-03,770
2014-03-03,842
2014-03-05,915
2014-03-07,970
2014-03-09,832
2014-03-08,906
2014-03-08,962
2014-03-11,892
2014-03-12,955
2014-03-14,982
2014-03-14,1026
2014-03-16,948
2014-03-17,1022
2014-03-19,1052
2014-03-20,976
2014-03-21,884
2014-03-22,844
2014-03-24,937
2014-03-26,985
2014-03-28,975
2014-03-28,1038
2014-03-30,982
2014-04-01,1029
2014-04-03,1082
2014-04-05,1132
2014-04-08,1151
2014-04-09,1171
2014-04-09,1134
2014-04-11,1162
2014-04-13,1136
2014-04-15,1219
2014-04-17,1216
2014-04-19,1157
2014-04-20,1083
2014-04-20,985
2014-04-21,1196
2014-04-24,1237
2014-04-26,1249
2014-04-29,1295
2014-04-29,1339
2014-05-01,1265
2014-05-03,1282
2014-05-06,1278
2014-05-06,1185
2014-05-07,1087
2014-05-07,1035
2014-05-09,1106
2014-05-11,1045
2014-05-13,1120
2014-05-14,1184
2014-05-17,1166
2014-05-19,1191
2014-05-20,1243
2014-05-21,1040
2014-05-21,1138
2014-05-22,912
2014-05-21,973
2014-05-22,822
2014-05-23,793
2014-05-25,870
2014-05-25,932
2014-05-26,1016
2014-05-26,1093
2014-05-27,1171
2014-05-27,1266
2014-05-28,1348
2014-05-29,1389
2014-05-31,1307
2014-06-01,1248
2014-06-02,1167
2014-06-03,1085
2014-06-04,1039
2014-06-05,1156
2014-06-06,1241
2014-06-07,1313
2014-06-07,1382
2014-06-08,1190
2014-06-10,1117
2014-06-13,1099
2014-06-15,1111
2014-06-17,1068
2014-06-18,983
2014-06-19,883
2014-06-21,1016
2014-06-24,929
2014-06-26,946
2014-06-29,955
2014-07-01,887
2014-07-01,813
2014-07-01,644
2014-07-01,718
2014-07-01,767
2014-07-02,537
2014-07-03,423
2014-07-05,550
2014-07-08,618
2014-07-10,566
2014-07-13,653
2014-07-15,671
2014-07-17,720
2014-07-19,753
2014-07-22,719
2014-07-24,742
2014-07-25,796
2014-07-27,836
2014-07-30,755
2014-08-01,770
2014-08-03,820
2014-08-04,889
2014-08-06,971
2014-08-07,965
2014-08-09,925
2014-08-12,913
2014-08-14,902
2014-08-16,848
2014-08-18,812
2014-08-20,861
2014-08-22,902
2014-08-24,883
2014-08-27,849
2014-08-29,852
2014-08-31,869
2014-09-01,769
2014-09-01,823
2014-09-02,678
2014-09-04,727
2014-09-04,804
2014-09-05,910
2014-09-08,898
2014-09-10,916
2014-09-12,962
2014-09-16,1014
2014-09-18,965
2014-09-21,918
2014-09-23,869
2014-09-25,985
2014-09-25,1054
2014-09-26,1141
2014-09-27,1228
2014-09-27,1266
2014-09-28,996
2014-09-28,1139
2014-09-29,499
2014-09-29,642
2014-09-28,717
2014-09-28,769
2014-09-28,826
2014-09-28,883
2014-09-28,932
2014-09-28,1215
2014-09-30,32
2014-09-29,144
2014-09-29,222
2014-09-29,272
2014-09-29,329
2014-09-29,385
2014-09-28,437
2014-09-28,1060
2014-09-29,560
2014-09-30,74
2014-10-02,69
2014-10-04,116
2014-10-07,143
2014-10-09,183
2014-10-12,197
2014-10-14,233
2014-10-17,261
2014-10-19,229
2014-10-21,261
2014-10-24,282
2014-10-26,272
2014-10-28,275
2014-10-30,238
2014-11-01,303
2014-11-04,372
2014-11-05,410
2014-11-08,457
2014-11-10,476
2014-11-12,523
2014-11-12,574
2014-11-13,649
2014-11-15,621
2014-11-17,535
2014-11-18,507
2014-11-20,454
2014-11-22,403
2014-11-24,354
2014-11-26,388
2014-11-27,457
2014-11-29,506
2014-12-01,547
2014-12-03,597
2014-12-05,642
2014-12-08,593
2014-12-10,611
2014-12-13,646
2014-12-15,637
2014-12-17,661
2014-12-20,624
2014-12-22,607
2014-12-24,642
2014-12-26,678
2014-12-28,645
2014-12-30,570
2015-01-01,615
2015-01-04,560
2015-01-06,590
2015-01-08,658
2015-01-09,715
2015-01-12,718
2015-01-14,742
2015-01-16,756
2015-01-19,708
2015-01-20,639
2015-01-21,631
2015-01-23,660
2015-01-25,556
2015-01-27,646
2015-01-29,710
2015-02-01,749
2015-02-03,743
2015-02-06,712
2015-02-08,658
2015-02-10,624
2015-02-11,702
2015-02-13,744
2015-02-14,772
2015-02-17,728
2015-02-18,767
2015-02-18,824
2015-02-21,856
2015-02-22,770
2015-02-24,710
2015-02-26,653
2015-02-27,632
2015-02-28,710
2015-03-01,770
2015-03-03,765
2015-03-05,725
2015-03-07,722
2015-03-09,711
2015-03-11,668
2015-03-13,663
2015-03-15,673
2015-03-16,601
2015-03-18,642
2015-03-20,707
2015-03-20,766
2015-03-21,855
2015-03-22,929
2015-03-24,826
2015-03-25,918
2015-03-25,975
2015-03-27,902
2015-03-28,953
2015-03-30,836
2015-03-31,780
