author,coffee_drinker,favourite_animal
10_GOP,1,Worm
1488REASONS,0,Siamese fighting fish
1D_NICOLE_,1,Bald eagle
1ERIK_LEE,0,Giant squid
1LORENAFAVA1,0,Bee
2NDHALFONION,1,Hammerhead shark
459JISALGE,1,Wildfowl
4EVER1937,0,Starfish
4EVER_SUSAN,0,Python
4MYSQUAD,0,Dung beetle
5EMEN5EMENICH,0,Domestic silver fox
5L5_5L5,1,Krill
666STEVEROGERS,1,Orangutan
6DRUZ,1,Crane
71BILALJAMIL1,1,Irukandji jellyfish
AAASSSSSHHH,0,Old World quail
AAATEST1234,1,Arabian leopard
AAAVADAKEDAVRAA,1,Turkey breeds
AAGN1AA,0,Horse
AANTIRACIST,1,Gorilla
AARONALLENALL,1,Wildcat
AARON_M1TCHELL,1,Raccoon
ABALAKOVAYLIA,1,American buffalo (bison)
ABBASSHUKRI,0,list
ABBYLOPTRT,1,Urial
ABELLABAB,0,Marmoset
ABIGAILCALLME,1,Water buffalo
ABIGAILSSILK,1,Zebra finch
ABIISSROSB,1,Horse
ABISADMASST,0,Catfish
ABMERRLINS,1,Deer
ABOUTPOLIT,1,Marten
ABRAMSREBEKAH,1,Fly
ABUNUWASA,0,Skink
ABU_UBAIDA2,0,Herring
ACAB_ZONE,1,Right whale
ACAPARELLA,1,Dingo
ACEJINEV,1,Pigeon
ACHSAHORKHAN,1,Moose
ACTIVEMIKR,0,Steelhead trout
ADALESTRTM,1,Marmot
ADAMCHAPMANJR,1,Horse
ADAMMA_DEFOND,0,Ray (Batoidea)
ADAM_MATHISSS,1,Dingo
ADDIE_HOL,0,Guanaco
ADELE_BROCK,0,Heron
ADELIINESTRT,1,list
ADELINE_GS,1,Wasp
ADELISTRTT,1,Viper
ADKEZLATE,0,Sockeye salmon
ADLEESTTT,0,Deer
ADLEESWOD,1,African buffalo
ADNNELSTR,1,Hoverfly
ADRGREERR,1,Galliform
ADRIANAMFTTT,1,Swan
ADRIASNSS,0,Pilot whale
ADRIENNE_GG,1,Hyena
ADRI_LOW_R,1,Dog
AESPARZZA,0,Vulture
AFEELIUTR,1,Zebra finch
AFIFYAMIRA1,1,Domestic silkmoth
AFONIA_ZHILCOV,0,Jay
AFONINMIXAIL,0,Land snail
AFRICAVSERDCE,1,Domestic turkey
AFUCKINSIDE,0,Lynx
AGAFONME,0,Urial
AGAINUKRFAKE,1,Lynx
AGATA_ALEXEEVA,1,Ground sloth
AGITPOLK,1,Cow
AGNESGRHM,1,Monkey
AGNESMLTRT,1,Pony
AGNESSTRYT,0,Tapir
AHMADHUSSEINII,0,list
AHMADRADJAB,0,Hamster
AHMADYOUSEF23,1,Tiglon
AHMADYUSUFF03,1,Crocodile
AHMANSOUR91061,1,Saber-toothed cat
AHNORDYK,1,Damselfly
AHOGAN_AM,1,Flea
AH_VERONIKI,1,Aphid
AIDEN7757,0,Rabbit
AKOROMYSLOVA,1,Arctic Wolf
ALANISSTRS,1,Halibut
ALAXXATR,0,Marmoset
ALAXXATRT,1,Leech
ALBELITATRTS,1,Crane fly
ALBERTA_HAYNESS,0,Anteater
ALBERTMORENMORE,0,Right whale
ALBUQUERQUEON,0,Minnow
ALDRICH420,0,Grizzly bear
ALECMOOOOODY,1,Ox
ALEESATRS,0,Peregrine falcon
ALEKSANISIMOF,1,Crow
ALEKSEY_SOKOL_,1,Cephalopod
ALEMICHLESS,1,Cephalopod
ALENAZELDINA,1,Polar bear
ALESISTRTT,1,Sea snail
ALESSIAWILLSON,1,Land snail
ALEXBORONIN,0,Hawk
ALEXHARRITONOV,0,Elephant seal
ALEXISFOXIE,1,Aardvark
ALEXLOVESSHENNA,0,Sea snail
ALEXMMYER,1,Wasp
ALEXSVLADIMIROV,0,Donkey
ALEXWARNINGU,0,Tuna
ALEXXBELYAEV,1,Goose
ALEXXDRTRR,1,Lizard
ALEX_DUGIN,1,Domestic hedgehog
ALEX___ANT,0,Tiger shark
ALFNEWDAY,0,Arabian leopard
ALFREDBENBEN,0,Bonobo
ALFREDTHREE,0,Wolf
ALI27HUSSEIN,1,Earthworm
ALIDANILOVSKAYA,0,Salmon
ALIISTRR,0,Turtle
ALINAANTONCHIK,1,Mosquito
ALINALINKI_,0,Clownfish
ALINANOVIKOV022,0,Fish
ALINAVIATKOVA,0,Penguin
ALINA_9_1,1,Salmon
ALISA_FRATKINA,0,Guppy
ALISONDAVOL,1,Dove
ALIZASSHIELD,0,Landfowl
ALLAHOMORE,1,Gorilla
ALLBERRTOSS,1,Swallow
ALLFORPETERSONS,0,Sea slug
ALMOSTSAINTGIRL,1,Marmoset
ALODOY,1,Barracuda
ALTMANBELINDA,1,Boa
ALTMANCOON,0,Owl
ALVA_MC_GHEE,1,Macaw
ALWAYSHUNGRYBAE,1,Water buffalo
ALW_ILL,1,Zebra finch
ALYSSABEDOLLA,1,Herring
AMALIAHULICK,1,Aardvark
AMALIA_PETTY,1,Blue bird
AMAMCAMCAM,1,Bobolink
AMANDAVGREEN,1,Panther
AMBAASTRT,0,Firefly
AMBBERTHTT,0,Ferret
AMBERDAVV,0,Bald eagle
AMBERLINETR,0,Pike
AMBERRPAR,1,Bass
AMCONVOICE,1,Snipe
AMELCREECH,1,Tortoise
AMELIEBALDWIN,1,Buzzard
AMELINAASTR,0,Mackerel
AMERICANALBERT,0,Boa
AMIISTRS,0,Ox
AMIRAFERRR,0,Muskox
AMIRAHPOPE,1,Hyena
AMIRICANWILL,1,Irukandji jellyfish
AMIYAHSAMUELS,0,Condor
AMYGRABMYESSAY,0,Bison
AMYMUSICLL,1,Beetle
AMYYSLEGENTR,0,Mastodon
AMYYSSTS,1,Polar bear
AMYYTHOSSMA,0,Horse
ANAAISLEC,1,Leopon
ANAALESSIS,1,Goose breeds
ANASTASIAR777,1,Iguana
ANASTASSIAZZ,0,Blue jay
ANASTASSITR,1,Fancy mouse
ANATOLINEMCOV,0,Sugar glider
ANATOLRMNFF,1,Anglerfish
ANBIVALENTNAYA,0,Blue jay
ANCARICTRS,0,laboratory rat strains
ANDEERLWR,0,Chameleon
