date,numusers
9/20/14,2003
9/21/14,2157
9/22/14,1612
9/23/14,1632
9/24/14,1556
9/25/14,1525
9/26/14,1842
9/27/14,2266
9/28/14,1954
9/29/14,1563
9/30/14,1605
10/1/14,1975
10/2/14,2033
10/3/14,1643
10/4/14,1987
10/5/14,2044
10/6/14,1566
10/8/14,1622
10/9/14,1563
10/10/14,1795
10/11/14,2231
10/12/14,2184
10/13/14,1703
10/14/14,1554
10/15/14,1530
10/16/14,1613
10/17/14,1905
10/18/14,2205
10/19/14,2289
10/20/14,1630
10/21/14,1619
10/22/14,1551
10/23/14,1632
10/24/14,1868
10/25/14,2055
10/26/14,2127
10/27/14,1668
10/28/14,1589
10/29/14,1578
10/30/14,1725
