text,retweet_count,hashtags,user_mentions
"RT @ScotGovFM: Tonight the First Minister @nicolasturgeon hosted the annual reception for Consular Corps at Edinburgh Castle, and thanked C…",102,[],"['ScotGovFM', 'NicolaSturgeon']"
RT @MhairiHunter: Delighted to see that @NewGorbalsHA led application has won nearly a million pounds in @scotgov regeneration funding to r…,20,[],"['MhairiHunter', 'NewGorbalsHA', 'scotgov']"
RT @StAlbertsG41: Our campaign to reclaim world book day for books and stories. Alisha says ‘books are so important for knowledge and langu…,28,[],['StAlbertsG41']
RT @KateForbesMSP: All parties’ key public budget asks are reflected in today’s deal: 💼 Meet local government’s ask for £95m ✅👧🏻 Expand…,161,[],['KateForbesMSP']
This is v funny and worth a read. https://t.co/nLF7u8rA01,196,[],[]
"RT @ScotGovFM: FM @NicolaSturgeon welcomed @churchmoderator, Rt Rev Colin Sinclair, to @scotparl for their annual meeting today. @scotgov…",52,[],"['ScotGovFM', 'NicolaSturgeon', 'churchmoderator', 'ScotParl', 'scotgov']"
RT @COSLA: An important meeting this afternoon between the @COSLA President @AlisonEvison and @NicolaSturgeon The First Minister of Scotlan…,46,[],"['COSLA', 'COSLA', 'AlisonEvison', 'NicolaSturgeon']"
RT @theSNP: 🏴󠁧󠁢󠁳󠁣󠁴󠁿 The SNP @scotgov has reached an agreement with @scotgp to pass our Budget.It delivers:🏘 An extra £95m for local gove…,280,[],"['theSNP', 'scotgov', 'scotgp']"
"Just over a week into the job and @KateForbesMSP has delivered a strong and progressive budget deal - extra investment for the police, local government and climate change, and a commitment to to progress plan for free bus travel for under-18s. https://t.co/M1Zr9lp6nO",361,[],['KateForbesMSP']
RT @KateForbesMSP: Pleased to have reached agreement this afternoon with @scotgp to pass the @scotgov budget in advance of stage 1 tomorrow…,326,[],"['KateForbesMSP', 'scotgp', 'scotgov']"
RT @sportscotland: It's been a fantastic day of discovery for the First Minister in Dundee. The RPC is now officially open - read all about…,39,[],['sportscotland']
RT @DundeeCulture: ⚽🏐🏅@ScotGovFM @NicolaSturgeon has officially opened the new Dundee Regional Performance Centre at Caird Park in #Dundee.…,34,['Dundee'],"['DundeeCulture', 'ScotGovFM', 'NicolaSturgeon']"
Delighted to open the new Dundee Regional Performance Centre for Sport this morning - a world class facility. Thanks to these young people for the netball lesson (thankfully I managed to fluke a goal!) ⁦@DundeeCouncil⁩ ⁦@LACDundee⁩ ⁦@sportscotland⁩ https://t.co/WTQpYJHbzo,230,[],"['DundeeCouncil', 'LACDundee', 'sportscotland']"
RT @GroveAcPE: Fantastic morning at the opening of the RPC and meeting @NicolaSturgeon. The girls really enjoyed themselves...look out for…,12,[],"['GroveAcPE', 'NicolaSturgeon']"
