original_short,redirected,valid_url,domain,subdomain,suffix
https://t.co/VtZIf5I0F4,https://twitter.com/alisonthewliss/status/1205081472702517248/photo/1,Yes,twitter,,com
https://t.co/ULLvnRHPWH,https://twitter.com/NicolaSturgeon/status/1137798602548551682/photo/1,Yes,twitter,,com
https://t.co/wVKiNxrgpc,https://www.instagram.com/p/B4m03FUF07Q/?igshid=4m7y4ci9car6,Yes,instagram,www,com
https://t.co/8RWte54XTp,https://www.youtube.com/watch?v=oUs-5dHFksw&feature=youtu.be,Yes,youtube,www,com
https://t.co/SJPKI23iwd,https://twitter.com/alisonthewliss/status/1205081472702517248,Yes,twitter,,com
https://t.co/7r0l,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/NG7KivJmvr,https://twitter.com/NicolaSturgeon/status/1192075733956538368/photo/1,Yes,twitter,,com
https://t.co/bJb5lGi5RI,https://twitter.com/NicolaSturgeon/status/1172933026386513920/photo/1,Yes,twitter,,com
https://t.co/pMrbpWi6lL,https://twitter.com/theSNP/status/1205345883828686848/video/1,Yes,twitter,,com
https://t.co/Rsub4FbpjC,https://twitter.com/extrateethmag/status/1148511205558038529,Yes,twitter,,com
https://t.co/UdOtjH0H3S,https://twitter.com/bbclaurak/status/1097433621055578115,Yes,twitter,,com
https://t.co/BqEKLukNDL,https://twitter.com/aukscot/status/1118902486872539139,Yes,twitter,,com
https://t.co/owbwP260Hq,https://twitter.com/jackiekaypoet/status/1190461358485192705,Yes,twitter,,com
https://t.co/jrSFSc3Umb,https://twitter.com/radioclydenews/status/1205312041533296640,Yes,twitter,,com
https://t.co/SXJnFulmkf,https://twitter.com/burleigh_nicola/status/1105930690707771392,Yes,twitter,,com
https://t.co/FjALdwpstM,https://twitter.com/scottishhockey/status/1158821489342320641,Yes,twitter,,com
https://t.co/sknYx5fjUo,https://www.snp.org/nicola-sturgeons-speech-at-the-european-policy-centre-in-brussels/,Yes,snp,www,org
https://t.co/6pNvxupgZy,https://www.scotland.org/?utm_medium=social&utm_source=twitter_scin,Yes,scotland,www,org
https://t.co/JCYEzRPWrs,https://twitter.com/NicolaSturgeon/status/1112014807660679168/photo/1,Yes,twitter,,com
https://t.co/wIkqinHcLi,https://twitter.com/marj_cat/status/1099043811026714624,Yes,twitter,,com
https://t.co/dRaQtuOwKv,https://twitter.com/eurohockeyorg/status/1160200483178463232,Yes,twitter,,com
https://t.co/1ColJTipDF,https://twitter.com/nathansparkling/status/1195382800033239040,Yes,twitter,,com
https://t.co/wkVRAGI1vG,https://twitter.com/angusrobertson/status/1142403286890401792,Yes,twitter,,com
https://t.co/khEIWdmvap,https://twitter.com/sajidjavid/status/1133712135517822976,Yes,twitter,,com
https://t.co/lWla77b2TX,https://twitter.com/merrionstreet/status/1195273736850685953,Yes,twitter,,com
https://t.co/LQjDpEHNp3,https://www.progressscotland.org/,Yes,progressscotland,www,org
https://t.co/W9xmVmGiPf,https://twitter.com/faisalislam/status/1096102744807608320,Yes,twitter,,com
https://t.co/148VpY5Q1R,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/Pft4esilCM,https://twitter.com/holyrooddaily/status/1158256568867196928,Yes,twitter,,com
https://t.co/ZNhe9r5xyo,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-47477629?ns_linkname=scotland&ns_campaign=bbc_scotland_news&ns_source=twitter&ns_mchannel=social,Yes,bbc,www,co.uk
https://t.co/NaHPBN5dM9,https://twitter.com/guardianheather/status/1123251342468952064,Yes,twitter,,com
https://t.co/TENOYne1uK,https://twitter.com/praxxxxxis/status/1211240779651387393,Yes,twitter,,com
https://t.co/zvaCUurVoX,https://twitter.com/cmacf76/status/1148627809390211073,Yes,twitter,,com
https://t.co/sFK8YBpC8z,https://twitter.com/stbrigidsps/status/1202714436294893568,Yes,twitter,,com
https://t.co/mzq0HivV8f,https://twitter.com/NicolaSturgeon/status/1136905888537726977/photo/1,Yes,twitter,,com
https://t.co/sfkB3osvVu,https://twitter.com/lornmacdonald_/status/1205812770819788802,Yes,twitter,,com
https://t.co/NLbBO7SFBH,https://twitter.com/theSNP/status/1205297815993438209/video/1,Yes,twitter,,com
https://t.co/ZkXTGEAxlC,https://twitter.com/bbcvickiyoung/status/1176176093004468224,Yes,twitter,,com
https://t.co/P2Jxp0w7YV,https://twitter.com/scottishballet/status/1158117037954207744,Yes,twitter,,com
https://t.co/tedKHy6aT4,https://twitter.com/realdonaldtrump/status/1148559442885185536,Yes,twitter,,com
https://t.co/KDaRY7y4sa,https://twitter.com/bbclaurak/status/1185541284037046273,Yes,twitter,,com
https://t.co/yI1uzeiWdK,https://twitter.com/scotgovfm/status/1224647011506556931,Yes,twitter,,com
https://t.co/31Y1gUavyP,https://twitter.com/stvnews/status/1105132677949206528,Yes,twitter,,com
https://t.co/pF6blAg0N8,https://twitter.com/officialsyp/status/1111957597639315456,Yes,twitter,,com
https://t.co/beaqDV8VcN,https://twitter.com/bbcnewsnight/status/1176616192959602688,Yes,twitter,,com
https://t.co/Q6XCSkHVyZ,https://twitter.com/SueRuddick/status/1155086914598375424/photo/1,Yes,twitter,,com
https://t.co/b9dWyY1lUv,https://twitter.com/swcwomen/status/1104377788457541632,Yes,twitter,,com
https://t.co/Umo54MzvzX:,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/Q1tFCMwKBP,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/8aBGWlbJtS,https://twitter.com/alibunkallsky/status/1113352300037398528,Yes,twitter,,com
https://t.co/OLh0eW98qZ,https://twitter.com/PA/status/1223337863279972357/video/1,Yes,twitter,,com
https://t.co/3oYW4TL9kp,https://twitter.com/jeremycorbyn/status/1111190204138864640,Yes,twitter,,com
https://t.co/bQPWBG1baT,https://twitter.com/thebookseller/status/1222823517655269376,Yes,twitter,,com
https://t.co/pUJcLZPkpJ,https://twitter.com/bbclornag/status/1171714405685452801/photo/1,Yes,twitter,,com
https://t.co/9AkxBCTkeW,https://twitter.com/culturekhan/status/1176566513492537344,Yes,twitter,,com
https://t.co/UEIl1lzYPT,https://twitter.com/NicolaSturgeon/status/1164883884200333312/photo/1,Yes,twitter,,com
https://t.co/QoFZu7vdCt,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/qNatNo1RBu,https://twitter.com/mos_politics/status/1114622842258231298,Yes,twitter,,com
https://t.co/N99L1dtr0z,https://twitter.com/thesnp/status/1205322564148613121,Yes,twitter,,com
https://t.co/ScQVmT5wxJ,https://twitter.com/SunriseDances/status/1193829012294029312/photo/1,Yes,twitter,,com
https://t.co/rhTqZYATDM,https://twitter.com/mgoldenmsp/status/1187764191337373696,Yes,twitter,,com
https://t.co/RE4hGoy1RR,https://twitter.com/davidlammy/status/1169222853117599744,Yes,twitter,,com
https://t.co/ic31AZxsd1,https://www.backlisted.fm/episodes/93-toni-morrison-beloved,Yes,backlisted,www,fm
https://t.co/DLhgs6r2oO,https://twitter.com/tprwills/status/1161571902533591041/photo/1,Yes,twitter,,com
https://t.co/peIgx85Gry,https://www.scottishhousingnews.com/article/new-gorbals-housing-association-tenants-welcome-nicola-sturgeon,Yes,scottishhousingnews,www,com
https://t.co/EZ3RBTfqXv,https://twitter.com/NicolaSturgeon/status/1190255770828525569/photo/1,Yes,twitter,,com
https://t.co/oQ9SQIEL68,https://www.theguardian.com/politics/2019/feb/28/rise-of-the-strongman-dozens-of-female-world-leaders-warn-womens-rights-being-eroded?utm_source=dlvr.it&utm_medium=twitter,Yes,theguardian,www,com
https://t.co/yJa3jfy6eS,https://www.theguardian.com/books/2019/nov/30/best-fiction-of-2019?CMP=twt_b-gdnreview,Yes,theguardian,www,com
https://t.co/onE5B52k3l,https://twitter.com/theSNP/status/1205318795713273856/video/1,Yes,twitter,,com
https://t.co/UVMDOt0gXb,https://www.snp.org/open-letter-from-tom-wills-say-no-to-brexit-vote-snp/,Yes,snp,www,org
https://t.co/K2rOSaAe1a,https://twitter.com/SamCoatesSky/status/1113136822937440256,Yes,twitter,,com
https://t.co/qVtZVSwvyJ,https://twitter.com/BBCNormanS/status/1108401861223202816,Yes,twitter,,com
https://t.co/p1pHbolEOu,https://twitter.com/businessinsider/status/1140633332734210048,Yes,twitter,,com
